salary,player_position,race,team_payroll,years_played,games_played,career_at_bats,career_runs,career_hits,career_doubles,career_triples,career_homeruns,career_runs_batted_in,career_batting_average,career_walks,career_strike_outs,career_stolen_bases,career_fielding_percent,white_percent_in_city,black_percent_in_city,hispanic_percent_in_city
3375000,shortstop,black,38407380,8,918,3333,407,863,156,38,73,342,259,137,582,133,968,70.27797,18.84423,10.8778
3100000,firstbase,white,38407380,5,751,2807,370,840,148,18,46,355,299,341,228,41,994,70.27797,18.84423,10.8778
2900000,thirdbase,white,38407380,8,1056,3337,405,816,143,18,107,421,245,306,653,15,971,70.27797,18.84423,10.8778
1650000,outfield,black,38407380,12,1196,3603,437,928,19,16,124,541,258,316,725,32,977,70.27797,18.84423,10.8778
700000,outfield,black,38407380,17,2032,7489,1136,2145,270,142,40,574,286,416,1098,660,987,70.27797,18.84423,10.8778
695000,outfield,hispanic,38407380,4,394,1293,179,303,51,13,37,141,234,77,358,67,965,70.27797,18.84423,10.8778
275000,catcher,white,38407380,10,432,1005,78,240,35,5,13,95,239,39,140,1,990,70.27797,18.84423,10.8778
235000,shortstop,hispanic,38407380,4,223,491,37,118,16,5,1,29,240,23,62,6,963,70.27797,18.84423,10.8778
212500,outfield,black,38407380,3,156,434,45,116,16,0,10,59,267,18,48,6,971,70.27797,18.84423,10.8778
212500,catcher,white,38407380,2,169,447,41,111,18,1,14,44,248,47,109,3,993,70.27797,18.84423,10.8778
180000,shortstop,hispanic,38407380,2,87,278,25,70,14,3,1,21,252,14,20,2,977,70.27797,18.84423,10.8778
3400000,catcher,hispanic,18297546,7,789,2872,312,758,124,15,85,375,264,139,516,62,980,59.59597,14.45398,25.95005
2000000,firstbase,hispanic,18297546,2,45,66,7,12,1,0,1,4,182,10,22,0,1000,59.59597,14.45398,25.95005
1250000,outfield,hispanic,18297546,4,442,1617,230,419,69,22,35,209,259,122,383,46,973,59.59597,14.45398,25.95005
825000,shortstop,white,18297546,6,528,1608,178,395,60,7,8,130,246,159,203,32,970,59.59597,14.45398,25.95005
750000,thirdbase,white,18297546,7,701,2088,275,610,110,11,21,254,292,347,248,5,989,59.59597,14.45398,25.95005
200000,outfield,black,18297546,5,478,1348,155,351,69,9,26,123,260,112,218,59,972,59.59597,14.45398,25.95005
190000,secondbase,white,18297546,2,168,421,42,114,23,2,3,42,271,67,84,9,957,59.59597,14.45398,25.95005
138000,catcher,white,18297546,3,109,330,19,71,10,1,8,33,215,23,61,0,987,59.59597,14.45398,25.95005
136000,outfield,white,18297546,2,86,197,19,44,8,1,4,27,223,24,62,0,1000,59.59597,14.45398,25.95005
125000,outfield,white,18297546,2,37,111,13,28,7,2,0,11,252,10,28,0,992,59.59597,14.45398,25.95005
123000,outfield,black,18297546,1,32,99,14,29,6,0,0,7,293,11,13,0,967,59.59597,14.45398,25.95005
123000,outfield,black,18297546,3,38,77,9,16,3,0,0,4,208,9,10,12,1000,59.59597,14.45398,25.95005
3000000,outfield,white,14671833,4,433,1481,207,409,79,9,58,212,276,137,324,54,990,,,
1537500,secondbase,black,14671833,3,415,1592,234,433,62,18,21,152,272,215,355,144,972,,,
1500000,outfield,white,14671833,4,431,1573,230,422,78,17,24,136,268,115,231,177,983,,,
210000,outfield,black,14671833,2,131,361,57,100,28,3,9,56,277,25,49,16,979,,,
170000,catcher,white,14671833,4,145,389,22,92,19,2,4,41,237,21,49,0,994,,,
142500,outfield,white,14671833,2,126,274,25,64,12,3,5,28,234,25,54,3,987,,,
126500,shortstop,hispanic,14671833,1,45,126,17,38,4,1,2,8,302,9,31,0,947,,,
117500,outfield,white,14671833,2,34,83,5,15,2,0,1,4,181,8,26,0,957,,,
115000,catcher,white,14671833,1,37,74,7,14,5,0,3,14,189,9,18,1,986,,,
6200000,outfield,black,38553668,7,1046,3732,572,1040,224,37,135,596,279,463,570,32,958,67.66896,17.52836,14.80268
3375000,firstbase,black,38553668,16,2444,9124,1343,2646,462,32,414,1562,290,1147,1224,90,993,67.66896,17.52836,14.80268
2312500,outfield,black,38553668,8,1021,4042,648,1071,124,62,18,255,265,380,716,610,974,67.66896,17.52836,14.80268
2300000,shortstop,hispanic,38553668,10,1328,5132,675,1465,251,70,48,479,285,396,480,181,980,67.66896,17.52836,14.80268
2150000,thirdbase,white,38553668,11,1279,4309,672,1092,225,17,204,672,253,576,1891,213,939,67.66896,17.52836,14.80268
650000,outfield,white,38553668,9,930,2935,384,817,131,29,37,265,278,221,266,82,985,67.66896,17.52836,14.80268
635000,thirdbase,black,38553668,10,411,1004,133,251,30,6,12,96,250,95,183,60,959,67.66896,17.52836,14.80268
500000,catcher,white,38553668,7,339,889,87,182,48,3,12,92,205,87,11,0,988,67.66896,17.52836,14.80268
475000,outfield,white,38553668,6,533,1555,199,422,70,8,8,136,271,127,195,19,993,67.66896,17.52836,14.80268
195000,catcher,white,38553668,3,180,485,45,97,23,1,8,41,200,31,108,3,995,67.66896,17.52836,14.80268
109000,outfield,black,38553668,1,30,108,15,24,7,1,3,10,222,8,24,2,988,67.66896,17.52836,14.80268
2466667,outfield,white,27037334,8,931,3219,533,916,190,28,52,283,285,384,342,220,989,77.39441,18.75563,3.849964
2450000,firstbase,white,27037334,7,930,2946,434,875,142,29,79,446,297,473,530,48,994,77.39441,18.75563,3.849964
2416667,catcher,white,27037334,9,706,2114,263,492,105,9,75,309,233,341,441,32,986,77.39441,18.75563,3.849964
2000000,outfield,hispanic,27037334,7,788,2830,368,722,123,27,53,253,255,146,536,147,959,77.39441,18.75563,3.849964
1375000,outfield,black,27037334,9,980,2982,398,838,124,35,37,258,281,251,498,191,981,77.39441,18.75563,3.849964
